"","yearCE","month","lat","VSSI","HemiAssym","Duration"
"1359",-9335,1,64,0.73,-1,36
"1360",-9341,1,48,3.04,-1,0
"1361",-9345,1,64,0.94,-1,24
"1362",-9348,1,64,0.42,-1,36
"1363",-9350,1,64,0.61,-1,24
"1364",-9352,1,64,0.34,-1,24
"1365",-9353,1,5,6.69,1.8,0
"1366",-9359,1,48,2.38,-1,0
"1367",-9374,1,48,3.93,-1,0
"1368",-9379,1,48,2.94,-1,0
"1369",-9387,1,-37,0.19,-1,0
"1370",-9389,1,48,13.84,-1,0
"1371",-9396,1,5,42.97,3.85,0
"1372",-9403,1,5,12.57,5.81,0
"1373",-9412,1,-37,1.08,-1,0
"1374",-9419,1,5,11.22,0.81,0
"1375",-9422,1,48,6.07,-1,0
"1376",-9428,1,48,5.23,-1,0
"1377",-9434,1,48,5.29,-1,0
"1378",-9440,1,48,6.75,-1,0
"1379",-9451,1,-37,0.44,-1,0
"1380",-9464,1,5,5.65,1.7,0
"1381",-9477,1,-37,0.22,-1,0
"1382",-9492,1,-37,9.13,-1,0
"1383",-9494,1,5,57.9,63.37,0
"1384",-9497,1,-37,2.89,-1,0
